[2026-02-12 15:51:35] Usuario:  - Acceso: FALLO
[2026-02-12 15:53:37] Usuario: ruben - Estado: FALLO
[2026-02-12 15:53:44] Usuario: ruben - Estado: FALLO
[2026-02-12 15:54:16] Usuario: ruben - Estado: FALLO
[2026-02-12 16:09:40] Usuario: ruben - Estado: FALLO
[2026-02-12 16:09:53] Usuario: ruben - Estado: FALLO
[2026-02-12 16:12:36] Usuario: ruben - Estado: FALLO
[2026-02-12 16:13:27] Usuario: ruben - Estado: FALLO
[2026-02-12 16:22:22] Usuario: ruben - Estado: FALLO
[2026-02-12 16:22:27] Usuario: ruben - Estado: ÉXITO
[2026-02-12 16:23:08] Usuario: ruben - Estado: FALLO
[2026-02-12 16:23:14] Usuario: ruben - Estado: ÉXITO
